Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
SC0,13-08-1994,Aberdeen,Hearts,3.0,1.0,H
SC0,13-08-1994,Falkirk,Celtic,1.0,1.0,D
SC0,13-08-1994,Hibernian,Dundee United,5.0,0.0,H
SC0,13-08-1994,Partick,Kilmarnock,2.0,0.0,H
SC0,13-08-1994,Rangers,Motherwell,2.0,1.0,H
SC0,20-08-1994,Aberdeen,Falkirk,2.0,2.0,D
SC0,20-08-1994,Celtic,Dundee United,2.0,1.0,H
SC0,20-08-1994,Hibernian,Kilmarnock,0.0,0.0,D
SC0,20-08-1994,Motherwell,Hearts,1.0,1.0,D
SC0,20-08-1994,Partick,Rangers,0.0,2.0,A
SC0,28-08-1994,Rangers,Celtic,0.0,2.0,A
SC0,28-08-1994,Kilmarnock,Motherwell,0.0,1.0,A
SC0,28-08-1994,Dundee United,Aberdeen,2.0,1.0,H
SC0,28-08-1994,Falkirk,Partick,2.0,1.0,H
SC0,28-08-1994,Hearts,Hibernian,0.0,1.0,A
SC0,10-09-1994,Dundee United,Motherwell,1.0,1.0,D
SC0,10-09-1994,Hibernian,Aberdeen,2.0,2.0,D
SC0,10-09-1994,Kilmarnock,Falkirk,1.0,1.0,D
SC0,10-09-1994,Partick,Celtic,1.0,2.0,A
SC0,11-09-1994,Rangers,Hearts,3.0,0.0,H
SC0,17-09-1994,Motherwell,Hibernian,1.0,1.0,D
SC0,17-09-1994,Hearts,Dundee United,2.0,1.0,H
SC0,17-09-1994,Aberdeen,Partick,1.0,1.0,D
SC0,17-09-1994,Celtic,Kilmarnock,1.0,1.0,D
SC0,17-09-1994,Falkirk,Rangers,0.0,2.0,A
SC0,24-09-1994,Aberdeen,Rangers,2.0,2.0,D
SC0,24-09-1994,Celtic,Hibernian,2.0,0.0,H
SC0,24-09-1994,Dundee United,Falkirk,1.0,0.0,H
SC0,24-09-1994,Hearts,Kilmarnock,3.0,0.0,H
SC0,24-09-1994,Partick,Motherwell,2.0,2.0,D
SC0,01-10-1994,Rangers,Dundee United,2.0,0.0,H
SC0,01-10-1994,Motherwell,Celtic,1.0,1.0,D
SC0,01-10-1994,Kilmarnock,Aberdeen,2.0,1.0,H
SC0,01-10-1994,Falkirk,Hearts,2.0,1.0,H
SC0,01-10-1994,Hibernian,Partick,3.0,0.0,H
SC0,08-10-1994,Celtic,Aberdeen,0.0,0.0,D
SC0,08-10-1994,Hibernian,Rangers,2.0,1.0,H
SC0,08-10-1994,Kilmarnock,Dundee United,0.0,2.0,A
SC0,08-10-1994,Motherwell,Falkirk,5.0,3.0,H
SC0,08-10-1994,Partick,Hearts,0.0,1.0,A
SC0,15-10-1994,Hearts,Celtic,1.0,0.0,H
SC0,15-10-1994,Falkirk,Hibernian,0.0,0.0,D
SC0,15-10-1994,Rangers,Kilmarnock,2.0,0.0,H
SC0,15-10-1994,Aberdeen,Motherwell,1.0,3.0,A
SC0,15-10-1994,Dundee United,Partick,0.0,1.0,A
SC0,22-10-1994,Celtic,Falkirk,0.0,2.0,A
SC0,22-10-1994,Dundee United,Hibernian,0.0,0.0,D
SC0,22-10-1994,Hearts,Aberdeen,2.0,0.0,H
SC0,22-10-1994,Kilmarnock,Partick,2.0,0.0,H
SC0,22-10-1994,Motherwell,Rangers,2.0,1.0,H
SC0,29-10-1994,Aberdeen,Dundee United,3.0,0.0,H
SC0,29-10-1994,Hibernian,Hearts,2.0,1.0,H
SC0,29-10-1994,Motherwell,Kilmarnock,3.0,2.0,H
SC0,29-10-1994,Partick,Falkirk,1.0,2.0,A
SC0,30-10-1994,Celtic,Rangers,1.0,3.0,A
SC0,05-11-1994,Falkirk,Aberdeen,2.0,1.0,H
